web-scraper-order,web-scraper-start-url,name,ranked,deliverytime
1614898159-71,https://www.rappi.com.mx/restaurantes/category/pizza,El Reinita,null,30 mins
1614898159-66,https://www.rappi.com.mx/restaurantes/category/pizza,Ké-Chelas,null,35 mins
1614898159-61,https://www.rappi.com.mx/restaurantes/category/pizza,The Factory,null,34 mins
1614898159-50,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Italia,null,34 mins
1614898159-37,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.4,42 mins
1614898159-59,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null,42 mins
1614898159-51,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null,34 mins
1614898159-64,https://www.rappi.com.mx/restaurantes/category/pizza,College Bar,null,30 mins
1614898159-45,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.4,29 mins
1614898159-56,https://www.rappi.com.mx/restaurantes/category/pizza,La Gabella,null,38 mins
1614898159-47,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino´s Pizza,null,43 mins
1614898159-68,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,5,36 mins
1614898159-34,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.7,27 mins
1614898159-48,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,4.5,35 mins
1614898159-43,https://www.rappi.com.mx/restaurantes/category/pizza,La Vieja Varsovia,null,30 mins
1614898159-38,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino's Pizza,4.9,33 mins
1614898159-55,https://www.rappi.com.mx/restaurantes/category/pizza,Che Chelas,null,35 mins
1614898159-60,https://www.rappi.com.mx/restaurantes/category/pizza,TOSCANO PIZZA & ESPRESSOS,null,38 mins
1614898159-40,https://www.rappi.com.mx/restaurantes/category/pizza,Santa Fortuna,null,47 mins
1614898159-65,https://www.rappi.com.mx/restaurantes/category/pizza,Dio Pizza,null,47 mins
1614898159-58,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Tec,null,34 mins
1614898159-41,https://www.rappi.com.mx/restaurantes/category/pizza,Zapata Pizza,4.5,47 mins
1614898159-62,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,4.3,39 mins
1614898159-69,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Trattoria,null,30 mins
1614898159-39,https://www.rappi.com.mx/restaurantes/category/pizza,Crécola,4.7,42 mins
1614898159-57,https://www.rappi.com.mx/restaurantes/category/pizza,Dio Pizza.,null,49 mins
1614898159-36,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7,33 mins
1614898159-63,https://www.rappi.com.mx/restaurantes/category/pizza,Di Vino Italian Restaurant,null,30 mins
1614898159-49,https://www.rappi.com.mx/restaurantes/category/pizza,Brutus Pizza,4.8,43 mins
1614898159-67,https://www.rappi.com.mx/restaurantes/category/pizza,Ketomorfosis By Cosecha Propia Mx,null,37 mins
1614898159-35,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5,38 mins
1614898159-72,https://www.rappi.com.mx/restaurantes/category/pizza,"Gab's Pizzas, Burritos y Mas",null,34 mins
1614898159-54,https://www.rappi.com.mx/restaurantes/category/pizza,Napoli Pizza Plaza Callao,null,33 mins
1614898159-46,https://www.rappi.com.mx/restaurantes/category/pizza,Güero's Pizza,null,49 mins
1614898159-70,https://www.rappi.com.mx/restaurantes/category/pizza,Lucco Pizza,null,36 mins
1614898159-52,https://www.rappi.com.mx/restaurantes/category/pizza,California Pizza Kitchen,null,39 mins
1614898159-42,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,4.8,37 mins
1614898159-44,https://www.rappi.com.mx/restaurantes/category/pizza,Il Pizzaiolo Qro,4.4,47 mins
1614898159-33,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.7,33 mins
1614898159-53,https://www.rappi.com.mx/restaurantes/category/pizza,Gusto Mío,null,30 mins
1615253269-5,https://www.rappi.com.mx/restaurantes/category/pizza,Marconni's Pizzería,null,40 mins
1615253269-8,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,null,32 mins
1615253269-3,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.1,32 mins
1615253269-4,https://www.rappi.com.mx/restaurantes/category/pizza,Piu Pizza,4.6,28 mins
1615253269-10,https://www.rappi.com.mx/restaurantes/category/pizza,Angie's Pizza,null,32 mins
1615253269-7,https://www.rappi.com.mx/restaurantes/category/pizza,San Teo,4.7,37 mins
1615253269-6,https://www.rappi.com.mx/restaurantes/category/pizza,Chef On Fuego,null,34 mins
1615253269-1,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,4.3,30 mins
1615253269-11,https://www.rappi.com.mx/restaurantes/category/pizza,Le Chef Querétaro,null,33 mins
1615253269-9,https://www.rappi.com.mx/restaurantes/category/pizza,El Hornero Pizzas y Empanadas,null,31 mins
1615253269-2,https://www.rappi.com.mx/restaurantes/category/pizza,Chechinos Pizza,null,31 mins
1615253498-15,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.5,32 mins
1615253498-28,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null,52 mins
1615253498-36,https://www.rappi.com.mx/restaurantes/category/pizza,Galia - Postreria y Pizza,null,39 mins
1615253498-18,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6,43 mins
1615253498-22,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,null,32 mins
1615253498-29,https://www.rappi.com.mx/restaurantes/category/pizza,Furiosa Sports Bar,null,29 mins
1615253498-12,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.8,48 mins
1615253498-30,https://www.rappi.com.mx/restaurantes/category/pizza,Aldo's Pizza,null,32 mins
1615253498-21,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null,31 mins
1615253498-19,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.3,33 mins
1615253498-20,https://www.rappi.com.mx/restaurantes/category/pizza,Trattoria la Nonna Mirador,4.7,31 mins
1615253498-31,https://www.rappi.com.mx/restaurantes/category/pizza,"Gab's Pizzas, Burritos y Mas",null,33 mins
1615253498-34,https://www.rappi.com.mx/restaurantes/category/pizza,Napoli Pizza Plaza Callao,null,34 mins
1615253498-35,https://www.rappi.com.mx/restaurantes/category/pizza,College Bar,null,38 mins
1615253498-17,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,2.5,30 mins
1615253498-13,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7,39 mins
1615253498-24,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Trattoria,null,34 mins
1615253498-26,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema Pizza Buffet,null,35 mins
1615253498-33,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,null,54 mins
1615253498-37,https://www.rappi.com.mx/restaurantes/category/pizza,Slicers Pizza,null,37 mins
1615253498-25,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,4.3,36 mins
1615253498-32,https://www.rappi.com.mx/restaurantes/category/pizza,Lynchburg,null,37 mins
1615253498-23,https://www.rappi.com.mx/restaurantes/category/pizza,Nambila Pizza,null,32 mins
1615253498-14,https://www.rappi.com.mx/restaurantes/category/pizza,Los Dogos,4.5,25 mins
1615253498-16,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5,50 mins
1615253498-27,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,null,35 mins
1615253697-40,https://www.rappi.com.mx/restaurantes/category/pizza,Piccolo Pizza,null,38 mins
1615253697-38,https://www.rappi.com.mx/restaurantes/category/pizza,Piero's Pizzas,null,36 mins
1615253697-41,https://www.rappi.com.mx/restaurantes/category/pizza,Lucciano's,null,31 mins
1615253697-43,https://www.rappi.com.mx/restaurantes/category/pizza,Nuut Grill,null,34 mins
1615253697-39,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,3.7,30 mins
1615253697-42,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Industry,null,29 mins
1615253894-72,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza Avenida del Parque,4.5,38 mins
1615253894-51,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.3,29 mins
1615253894-47,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5,41 mins
1615253894-65,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,null,33 mins
1615253894-68,https://www.rappi.com.mx/restaurantes/category/pizza,Zapata Pizza,4.6,50 mins
1615253894-67,https://www.rappi.com.mx/restaurantes/category/pizza,U' Furno,null,42 mins
1615253894-53,https://www.rappi.com.mx/restaurantes/category/pizza,Trattoria la Nonna Mirador,4.7,40 mins
1615253894-69,https://www.rappi.com.mx/restaurantes/category/pizza,La Santa Pizza,null,34 mins
1615253894-82,https://www.rappi.com.mx/restaurantes/category/pizza,ke chelas,null,36 mins
1615253894-58,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null,35 mins
1615253894-81,https://www.rappi.com.mx/restaurantes/category/pizza,"Rodeo Cruzeli's Pizza Suc: Comerciantes, Qro.",null,37 mins
1615253894-63,https://www.rappi.com.mx/restaurantes/category/pizza,Fiume 37,null,34 mins
1615253894-46,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7,32 mins
1615253894-57,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino´s Pizza,null,43 mins
1615253894-64,https://www.rappi.com.mx/restaurantes/category/pizza,Nambila Pizza,null,35 mins
1615253894-73,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null,44 mins
1615253894-78,https://www.rappi.com.mx/restaurantes/category/pizza,Furiosa Sports Bar,null,29 mins
1615253894-45,https://www.rappi.com.mx/restaurantes/category/pizza,La Mía Pizza,4.7,35 mins
1615253894-55,https://www.rappi.com.mx/restaurantes/category/pizza,San Teo,null,37 mins
