web-scraper-order,web-scraper-start-url,name,rating
1615753486-17,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,5
1615753486-15,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.5
1615753486-1,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Francia,0
1615753486-33,https://www.rappi.com.mx/restaurantes/category/pizza,Lynchburg,0
1615753486-20,https://www.rappi.com.mx/restaurantes/category/pizza,Rio Quintana,0
1615753486-16,https://www.rappi.com.mx/restaurantes/category/pizza,California Pizza Kitchen,0
1615753486-2,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.8
1615753486-29,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema Pizza Buffet,0
1615753486-21,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Pop,0
1615753486-37,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,0
1615753486-31,https://www.rappi.com.mx/restaurantes/category/pizza,La Pizzoleta,4.4
1615753486-14,https://www.rappi.com.mx/restaurantes/category/pizza,Il Pizzaiolo Qro,4.2
1615753486-8,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7
1615753486-7,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5
1615753486-23,https://www.rappi.com.mx/restaurantes/category/pizza,Che Chelas,0
1615753486-36,https://www.rappi.com.mx/restaurantes/category/pizza,Dio Pizza.,0
1615753486-6,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.8
1615753486-24,https://www.rappi.com.mx/restaurantes/category/pizza,La Santa Pizza,0
1615753486-25,https://www.rappi.com.mx/restaurantes/category/pizza,Movies Pizza,5
1615753486-32,https://www.rappi.com.mx/restaurantes/category/pizza,Alpaso Pizzería,0
1615753486-13,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Ricum Di Vendi,0
1615753486-26,https://www.rappi.com.mx/restaurantes/category/pizza,Ketomorfosis By Cosecha Propia Mx,0
1615753486-30,https://www.rappi.com.mx/restaurantes/category/pizza,Pronto Pizza Qro,0
1615753486-12,https://www.rappi.com.mx/restaurantes/category/pizza,Corleone Pizza,0
1615753486-40,https://www.rappi.com.mx/restaurantes/category/pizza,Zapata Pizza,4.6
1615753486-11,https://www.rappi.com.mx/restaurantes/category/pizza,La Gabella,0
1615753486-9,https://www.rappi.com.mx/restaurantes/category/pizza,San Teo,0
1615753486-22,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,4.3
1615753486-38,https://www.rappi.com.mx/restaurantes/category/pizza,Stromboli Pizza Villas,0
1615753486-10,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,0
1615753486-18,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Tec,0
1615753486-35,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,0
1615753486-34,https://www.rappi.com.mx/restaurantes/category/pizza,Piu Pizza,0
1615753486-28,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Italia,0
1615753486-3,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino's Pizza,4.9
1615753486-4,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6
1615753486-39,https://www.rappi.com.mx/restaurantes/category/pizza,Güero's Pizza,0
1615753486-19,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,4.5
1615753486-27,https://www.rappi.com.mx/restaurantes/category/pizza,La Filippa Pizza,0
1615753486-5,https://www.rappi.com.mx/restaurantes/category/pizza,Crécola,4.8
1615753565-44,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6
1615753565-59,https://www.rappi.com.mx/restaurantes/category/pizza,Che Chelas,0
1615753565-79,https://www.rappi.com.mx/restaurantes/category/pizza,La Vieja Varsovia,0
1615753565-61,https://www.rappi.com.mx/restaurantes/category/pizza,La Santa Pizza,0
1615753565-55,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.5
1615753565-47,https://www.rappi.com.mx/restaurantes/category/pizza,Bruno,0
1615753565-65,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Italia,0
1615753565-45,https://www.rappi.com.mx/restaurantes/category/pizza,Crécola,4.8
1615753565-54,https://www.rappi.com.mx/restaurantes/category/pizza,Corleone Pizza,0
1615753565-78,https://www.rappi.com.mx/restaurantes/category/pizza,"Rodeo Cruzeli's Pizza Suc: Comerciantes, Qro.",0
1615753565-72,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Industry,0
1615753565-57,https://www.rappi.com.mx/restaurantes/category/pizza,Rio Quintana,0
1615753565-52,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,3.5
1615753565-56,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Tec,0
1615753565-75,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Trattoria,0
1615753565-53,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Ricum Di Vendi,0
1615753565-49,https://www.rappi.com.mx/restaurantes/category/pizza,La Gabella,0
1615753565-66,https://www.rappi.com.mx/restaurantes/category/pizza,Pronto Pizza Qro,0
1615753565-70,https://www.rappi.com.mx/restaurantes/category/pizza,Lynchburg,0
1615753565-43,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.8
1615753565-77,https://www.rappi.com.mx/restaurantes/category/pizza,Zapata Pizza,4.6
1615753565-80,https://www.rappi.com.mx/restaurantes/category/pizza,Lucco Pizza,0
1615753565-58,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,0
1615753565-67,https://www.rappi.com.mx/restaurantes/category/pizza,Alpaso Pizzería,0
1615753565-64,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema Pizza Buffet,0
1615753565-63,https://www.rappi.com.mx/restaurantes/category/pizza,La Filippa Pizza,0
1615753565-46,https://www.rappi.com.mx/restaurantes/category/pizza,San Teo,0
1615753565-73,https://www.rappi.com.mx/restaurantes/category/pizza,Güero's Pizza,0
1615753565-74,https://www.rappi.com.mx/restaurantes/category/pizza,Stromboli Pizza Villas,0
1615753565-62,https://www.rappi.com.mx/restaurantes/category/pizza,Movies Pizza,5
1615753565-42,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino's Pizza,4.9
1615753565-71,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,0
1615753565-68,https://www.rappi.com.mx/restaurantes/category/pizza,Dio Pizza.,0
1615753565-60,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,3.6
1615753565-50,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,0
1615753565-69,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,0
1615753565-48,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5
1615753565-51,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,4.8
1615753565-76,https://www.rappi.com.mx/restaurantes/category/pizza,ke chelas,0
1615753565-41,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.7
1615753760-92,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,0
1615753760-91,https://www.rappi.com.mx/restaurantes/category/pizza,Cherry'ss Pizza,0
1615753760-90,https://www.rappi.com.mx/restaurantes/category/pizza,Sofia Pizzeria El Refugio,0
1615753760-94,https://www.rappi.com.mx/restaurantes/category/pizza,Marconni's Pizzería,0
1615753760-88,https://www.rappi.com.mx/restaurantes/category/pizza,Ge Vito's Pizza Juriquilla,0
1615753760-95,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería de Diego,0
1615753760-103,https://www.rappi.com.mx/restaurantes/category/pizza,Marcello S Plant Based Pizza,0
1615753760-102,https://www.rappi.com.mx/restaurantes/category/pizza,Yuyumei Pizzería Napolitana,0
1615753760-83,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,4.1
1615753760-84,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.1
1615753760-98,https://www.rappi.com.mx/restaurantes/category/pizza,Chef On Fuego,0
1615753760-93,https://www.rappi.com.mx/restaurantes/category/pizza,Marcello's Plant Based Pizza Querétaro,0
1615753760-85,https://www.rappi.com.mx/restaurantes/category/pizza,San Teo,4.7
1615753760-101,https://www.rappi.com.mx/restaurantes/category/pizza,Sbarro,0
1615753760-86,https://www.rappi.com.mx/restaurantes/category/pizza,Chechinos Pizza,0
1615753760-96,https://www.rappi.com.mx/restaurantes/category/pizza,Chuck E. Cheese's,0
1615753760-87,https://www.rappi.com.mx/restaurantes/category/pizza,Piu Pizza,4.6
1615753760-82,https://www.rappi.com.mx/restaurantes/category/pizza,Emilio´S,4.7
1615753760-81,https://www.rappi.com.mx/restaurantes/category/pizza,Angie's Pizza,0
1615753760-89,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Pub,0
1615753760-100,https://www.rappi.com.mx/restaurantes/category/pizza,Artesano Pizzería Juriquilla,0
1615753760-99,https://www.rappi.com.mx/restaurantes/category/pizza,El Hornero Pizzas y Empanadas,0
1615753760-97,https://www.rappi.com.mx/restaurantes/category/pizza,Za-bör Pizza & Sliders,0
1615753876-130,https://www.rappi.com.mx/restaurantes/category/pizza,Galia - Postreria y Pizza,0
1615753876-114,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,0
1615753876-113,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeria Ricum Di Vendi,0
1615753876-116,https://www.rappi.com.mx/restaurantes/category/pizza,Rio Quintana,0
1615753876-125,https://www.rappi.com.mx/restaurantes/category/pizza,Lucco Pizza,0
1615753876-127,https://www.rappi.com.mx/restaurantes/category/pizza,Napoli Pizza Plaza Callao,0
1615753876-112,https://www.rappi.com.mx/restaurantes/category/pizza,iL Forno Pizza.,4.7
1615753876-107,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Hut,4.5
1615753876-111,https://www.rappi.com.mx/restaurantes/category/pizza,Trattoria la Nonna Mirador,4.7
1615753876-117,https://www.rappi.com.mx/restaurantes/category/pizza,Cheese Up,4.2
1615753876-118,https://www.rappi.com.mx/restaurantes/category/pizza,Diktatur,0
1615753876-131,https://www.rappi.com.mx/restaurantes/category/pizza,Perdon My French,0
1615753876-124,https://www.rappi.com.mx/restaurantes/category/pizza,Nizza Pizza,0
1615753876-106,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.3
1615753876-126,https://www.rappi.com.mx/restaurantes/category/pizza,La Vieja Varsovia,0
1615753876-129,https://www.rappi.com.mx/restaurantes/category/pizza,Piix Café,0
1615753876-109,https://www.rappi.com.mx/restaurantes/category/pizza,La Gabella,0
1615753876-104,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.8
1615753876-121,https://www.rappi.com.mx/restaurantes/category/pizza,Lynchburg,0
1615753876-132,https://www.rappi.com.mx/restaurantes/category/pizza,Ristorante Brancacci,0
1615753876-119,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema Pizza Buffet,0
1615753876-120,https://www.rappi.com.mx/restaurantes/category/pizza,La Filippa Pizza,0
1615753876-128,https://www.rappi.com.mx/restaurantes/category/pizza,Aldo's Pizza,0
1615753876-105,https://www.rappi.com.mx/restaurantes/category/pizza,Cosi Fan Tutte,4.6
1615753876-115,https://www.rappi.com.mx/restaurantes/category/pizza,La Patrona QRO,4.5
1615753876-108,https://www.rappi.com.mx/restaurantes/category/pizza,Abuelitas Pizza,0
1615753876-110,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,2.6
1615753876-122,https://www.rappi.com.mx/restaurantes/category/pizza,Ipanema,0
1615753876-123,https://www.rappi.com.mx/restaurantes/category/pizza,La Piccola Trattoria,0
1615753876-133,https://www.rappi.com.mx/restaurantes/category/pizza,Papa Johns,0
1615753931-139,https://www.rappi.com.mx/restaurantes/category/pizza,iL Forno Pizza.,4.4
1615753931-143,https://www.rappi.com.mx/restaurantes/category/pizza,Nuut Grill,0
1615753931-138,https://www.rappi.com.mx/restaurantes/category/pizza,Piccolo Pizza,0
1615753931-135,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Al Volo,4.8
1615753931-140,https://www.rappi.com.mx/restaurantes/category/pizza,Coliseo Pizza.,4.3
1615753931-141,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Puq,0
1615753931-134,https://www.rappi.com.mx/restaurantes/category/pizza,Piero's Pizzas,0
1615753931-142,https://www.rappi.com.mx/restaurantes/category/pizza,Lucciano's,0
1615753931-145,https://www.rappi.com.mx/restaurantes/category/pizza,Sofia Pizzeria El Refugio,0
1615753931-136,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,3.6
1615753931-137,https://www.rappi.com.mx/restaurantes/category/pizza,Amore Pizza,0
1615753931-144,https://www.rappi.com.mx/restaurantes/category/pizza,Tentazione Pizzas Artesanales,0
